shipment_id,export_date,buyer_name,buyer_country,route,product_type,hs_code,quantity_kg,fob_value_usd,fob_value_inr,freight_cost_usd,insurance_usd,port_of_loading,port_of_discharge,payment_terms,planned_transit_days,actual_transit_days,delay_days,gst_refund_mode,payment_status,ground_truth_risk,trap_type,analyst_note
SHIP-001,2025-10-10,Neptune Trading LLC,USA,IN-US,Frozen Vannamei Shrimp,0306.17,18000,42000,3507000,3200,420,JNPT Mumbai,Los Angeles,NET-30,22,40,18,lut,paid,LOW,TN,Established buyer perfect payment record; delay caused by USCS cold-chain inspection hold released without penalty; within agreed SLA
SHIP-002,2025-11-01,Al Nakheel Marine,UAE,IN-AE,Fresh Pomfret,0302.89,1200,8500,709750,680,85,Kochi,Dubai,NET-30,8,11,3,auto,paid,LOW,TN,Short haul fresh cargo; LUT applied correctly; buyer paid within 22 days of delivery
SHIP-003,2025-09-15,Meridian Foods,EU,IN-EU,Frozen Squid,0307.49,12500,31000,2588500,2800,310,Chennai,Rotterdam,NET-60,28,28,0,lut,paid,HIGH,FN,TRAP FN: Looks perfect — paid and zero delay. Hidden: buyer has 3 other invoices totaling $67000 overdue 99-146 days. This shipment paid to maintain credit line while older invoices go bad.
SHIP-004,2025-12-05,Coastal Fine Foods,USA,IN-US,Fish Fillets Basa,0304.89,8500,19200,1603200,1800,192,Chennai,New York,NET-30,24,46,22,auto,pending,HIGH,TP,TRUE POSITIVE: Buyer DSO deteriorating; 22-day delay plus pending payment = genuine collection risk; previous invoice already 32 days overdue
SHIP-005,2025-10-20,Sakura Marine Products,Japan,IN-JP,Frozen Vannamei Shrimp,0306.17,24000,55000,4592500,4200,550,JNPT Mumbai,Tokyo,NET-60,18,23,5,lut,paid,LOW,TN,Grade-A certified shrimp; reliable Japan buyer; 5-day delay within buffer; paid day 55 within NET-60
SHIP-006,2025-11-15,Hangzhou Seafood Group,China,IN-CN,Dried Bombay Duck,0305.59,3200,12800,1068800,900,128,Kochi,Shanghai,NET-45,14,22,8,auto,pending,HIGH,FN,TRAP FN: Moderate delay and pending — looks manageable standalone. Hidden: same buyer has 6 GST claims with e-BRC mismatch errors filed this period. Systemic ICEGATE issue not visible at shipment level.
SHIP-007,2025-08-01,Pacific Crown LLC,USA,IN-US,Frozen Yellowfin Tuna,0303.46,32000,87000,7264500,6800,870,Vizag,Los Angeles,NET-30,25,63,38,lut,pending,LOW,FP,TRAP FP: 38-day delay plus $87000 pending triggers every risk flag. Reality: seasonal tuna peak; delay within SLA addendum signed 2025-07-20; forward contract with escrow ESC-2025-447 guarantees payment.
SHIP-008,2025-12-01,Al Nakheel Marine,UAE,IN-AE,Live Lobster,0306.31,850,28500,2379750,2100,570,Kochi,Dubai,NET-30,6,8,2,lut,paid,LOW,TN,Premium live cargo; cleared quickly; buyer paid day 22 within NET-30; no risk
SHIP-009,2025-11-20,Al Nakheel Marine,UAE,IN-AE,Frozen Vannamei Shrimp,0306.17,6000,14200,1185700,1100,142,JNPT Mumbai,Dubai,NET-30,10,10,0,auto,partial,MEDIUM,FN,TRAP FN: Zero delay and auto GST mode looks fine. Hidden: partial payment means $2840 (20%) outstanding 95 days — effectively bad debt at this age; not flagged because status shows partial not overdue.
SHIP-010,2025-10-28,Blue Ocean Imports,EU,IN-EU,Fish Fillets Rohu,0304.89,14000,33600,2805600,3100,336,Chennai,Rotterdam,NET-45,26,38,12,lut,paid,LOW,TN,EU longstanding buyer; 12-day delay within SLA; paid day 40 = within NET-45 window; clean
SHIP-011,2025-11-25,Sakura Marine Products,Japan,IN-JP,Frozen Squid,0307.49,18000,48000,4008000,3800,480,JNPT Mumbai,Tokyo,NET-60,20,20,0,lut,pending,LOW,TN,Zero delay; pending is within NET-60 contractual window; no collection risk
SHIP-012,2025-09-25,Blue Ocean Imports,EU,IN-EU,Frozen Vannamei Shrimp,0306.17,32000,76400,6379400,6200,764,JNPT Mumbai,Rotterdam,NET-45,28,53,25,lut,paid,LOW,FP,TRAP FP: High freight $6200 plus 25-day delay on large value looks margin-negative. Reality: duty drawback 9% recouped $6876; LUT saves full IGST; net margin 14.2%; this shipment is profitable.
SHIP-013,2025-11-28,Gulf Marine Traders,UAE,IN-AE,Fresh Tiger Prawns,0306.26,2200,9800,818300,780,196,Kochi,Dubai,NET-30,7,21,14,auto,overdue,HIGH,TP,TRUE POSITIVE: Spot buyer with no prior credit check; 14-day delay on perishable cargo plus overdue payment = genuine exposure; no escrow no history
SHIP-014,2025-11-10,Hangzhou Seafood Group,China,IN-CN,Frozen Yellowfin Tuna,0303.46,9000,22100,1845350,1800,221,Vizag,Shanghai,NET-45,16,22,6,auto,paid,LOW,TN,Reliable China buyer; 6-day delay minor; paid within NET-45; acceptable
SHIP-015,2025-12-10,Sakura Marine Products,Japan,IN-JP,Fish Fillets Basa,0304.89,7800,18400,1536400,1400,0,Chennai,Tokyo,NET-90,15,15,0,lut,paid,MEDIUM,FN,TRAP FN: Zero delay and paid looks perfect. Hidden: (1) NET-90 means 90 days capital locked at 11% WACC = $497 invisible cost; (2) $0 insurance on frozen cargo worth $18400 — any cold-chain failure is 100% loss; (3) part of e-BRC mismatch cluster.
SHIP-016,2025-10-15,Neptune Trading LLC,USA,IN-US,Frozen Vannamei Shrimp,0306.17,26000,61000,5093500,4800,610,JNPT Mumbai,Los Angeles,NET-30,22,31,9,lut,paid,LOW,TN,Same reliable US buyer; 9-day delay minor; paid day 27; clean
SHIP-017,2025-12-01,Eurofish Direct,EU,IN-EU,Dried Shrimp,0306.99,2800,7200,601200,620,72,Chennai,Hamburg,NET-30,24,27,3,auto,pending,LOW,TN,New buyer; small value; 3-day delay minor; pending within NET-30 window; acceptable for new relationship
SHIP-018,2025-10-18,Sakura Marine Products,Japan,IN-JP,Frozen Cuttlefish,0307.99,15500,39500,3298250,3200,395,Vizag,Osaka,NET-60,19,36,17,lut,paid,LOW,TN,Japan buyer paid within NET-60 despite 17-day delay due to Osaka port congestion; established route
SHIP-019,2025-12-15,Gulf Marine Traders,UAE,IN-AE,Fresh Pomfret,0302.89,900,5600,467600,440,112,Kochi,Dubai,NET-30,7,7,0,auto,overdue,HIGH,TP,TRUE POSITIVE: Fresh perishable cargo; overdue payment; spot buyer with no prior relationship; zero delay masks that payment is now 35 days late
SHIP-020,2025-08-25,Pacific Crown LLC,USA,IN-US,Frozen Bluefin Tuna,0303.43,38000,93000,7765500,7400,930,Vizag,Los Angeles,NET-30,25,70,45,lut,pending,LOW,FP,TRAP FP: 45-day delay plus $93000 pending looks CRITICAL. Reality: bluefin long-haul; USCS cold-chain verification mandatory; escrow ESC-2025-447 confirmed; buyer credit rating AAA; this will be paid in full.
SHIP-021,2025-11-01,Blue Ocean Imports,EU,IN-EU,Fish Fillets Rohu,0304.89,11500,27800,2321300,2600,278,Chennai,Rotterdam,NET-45,26,34,8,lut,paid,LOW,TN,Consistent EU buyer; 8-day delay within SLA; paid day 41 within NET-45; no risk
SHIP-022,2025-11-25,Hangzhou Seafood Group,China,IN-CN,Frozen Squid,0307.49,6500,16300,1361050,1300,163,JNPT Mumbai,Shanghai,NET-45,16,27,11,auto,pending,HIGH,FN,TRAP FN: Moderate delay and pending looks manageable. Hidden: buyer changed IEC registration number mid-shipment; shipping bill carries old IEC; customs clearance hold likely; GST refund rejection near-certain.
SHIP-023,2025-11-15,Al Nakheel Marine,UAE,IN-AE,Live Mud Crab,0306.31,680,34100,2847350,2600,682,Kochi,Dubai,NET-30,6,10,4,lut,paid,LOW,TN,Premium live cargo; 4-day delay minor; buyer paid day 25; clean
SHIP-024,2025-10-10,Coastal Fine Foods,USA,IN-US,Frozen Yellowfin Tuna,0303.46,21000,52700,4400450,4200,527,JNPT Mumbai,New York,NET-30,22,43,21,auto,partial,CRITICAL,TP,TRUE POSITIVE: Buyer partial payment on large value; $21080 outstanding 45 days overdue; combined with SHIP-004 this buyer owes $40280; legal notice threshold crossed
SHIP-025,2025-12-05,Eurofish Direct,EU,IN-EU,Dried Bombay Duck,0305.59,4200,11400,951900,980,114,JNPT Mumbai,Hamburg,NET-30,24,30,6,auto,paid,LOW,TN,New EU buyer paid in full within NET-30; 6-day delay acceptable; positive first transaction
